"-0.998, 1.5, 5.0, 0.0, 0.0","-0.998, 1.5, 5.0, 0.0, 30.0","-0.998, 1.5, 5.0, 50.0, 0.0","-0.998, 1.5, 5.0, 50.0, 30.0","-0.998, 1.5, 85.0, 0.0, 0.0","-0.998, 1.5, 85.0, 0.0, 30.0","-0.998, 1.5, 85.0, 50.0, 0.0","-0.998, 1.5, 85.0, 50.0, 30.0","-0.998, 30.0, 5.0, 0.0, 0.0","-0.998, 30.0, 5.0, 0.0, 30.0","-0.998, 30.0, 5.0, 50.0, 0.0","-0.998, 30.0, 5.0, 50.0, 30.0","-0.998, 30.0, 85.0, 0.0, 0.0","-0.998, 30.0, 85.0, 0.0, 30.0","-0.998, 30.0, 85.0, 50.0, 0.0","-0.998, 30.0, 85.0, 50.0, 30.0","0.998, 1.5, 5.0, 0.0, 0.0","0.998, 1.5, 5.0, 0.0, 30.0","0.998, 1.5, 5.0, 50.0, 0.0","0.998, 1.5, 5.0, 50.0, 30.0","0.998, 1.5, 85.0, 0.0, 0.0","0.998, 1.5, 85.0, 0.0, 30.0","0.998, 1.5, 85.0, 50.0, 0.0","0.998, 1.5, 85.0, 50.0, 30.0","0.998, 30.0, 5.0, 0.0, 0.0","0.998, 30.0, 5.0, 0.0, 30.0","0.998, 30.0, 5.0, 50.0, 0.0","0.998, 30.0, 5.0, 50.0, 30.0","0.998, 30.0, 85.0, 0.0, 0.0","0.998, 30.0, 85.0, 0.0, 30.0","0.998, 30.0, 85.0, 50.0, 0.0","0.998, 30.0, 85.0, 50.0, 30.0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018652307685875977,0.0,0.0,0.0,7.410157137541077e-5,0.0,0.0,0.0,1.5499725006710756e-6,0.0,0.0,0.0,4.567595422695882e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018716399824206375,0.0,0.0,0.0,7.473642363452294e-5,0.0,0.0,0.0,1.5738653150155534e-6,0.0,0.0,0.0,4.636120266223813e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018482218586048185,0.0,0.0,0.0,7.536514725069683e-5,0.0,0.0,0.0,1.576092678370158e-6,0.0,0.0,0.0,4.701731314370411e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018718608439730253,0.0,0.0,0.0,7.598253535373417e-5,0.0,0.0,0.0,1.612417006872735e-6,0.0,0.0,0.0,4.761965979257778e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018793268898700218,0.0,0.0,0.0,7.655416032685613e-5,0.0,0.0,0.0,1.6370333143834202e-6,0.0,0.0,0.0,4.801168105512043e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018810421034738448,0.0,0.0,0.0,7.730036617976377e-5,0.0,0.0,0.0,1.6562754431514447e-6,0.0,0.0,0.0,4.917226656375171e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001895735295750218,0.0,0.0,0.0,7.793056104553198e-5,0.0,0.0,0.0,1.6894730130350622e-6,0.0,0.0,0.0,4.982256151270849e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018918616095771235,0.0,0.0,0.0,7.85498606429907e-5,0.0,0.0,0.0,1.7069408623027344e-6,0.0,0.0,0.0,5.0414256088497725e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018913295431822264,0.0,0.0,0.0,7.910042450482157e-5,0.0,0.0,0.0,1.7269028769980102e-6,0.0,0.0,0.0,5.066960920991723e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019136908396185683,0.0,0.0,0.0,7.988018630678098e-5,0.0,0.0,0.0,1.7649886976249653e-6,0.0,0.0,0.0,5.1999190295105985e-6,0.0,0.0,0.0
