a,m1,c1,m2,c2,m3,c3,m4,c4,m5,c5,m6,c6
0.11, -5.94, -3.73, 5.402, 8.573, 8.453, 5.486, -6.309, -15.031, 0.191, -5.409, -1.0, -14.453
0.114, -5.932, -3.743, 5.4, 8.555, 8.415, 5.526, -6.302, -14.985, 0.191, -5.415, -1.0, -14.415
0.118, -5.924, -3.756, 5.399, 8.538, 8.377, 5.565, -6.296, -14.94, 0.19, -5.421, -1.0, -14.377
0.122, -5.916, -3.769, 5.398, 8.521, 8.339, 5.605, -6.29, -14.894, 0.19, -5.427, -1.0, -14.339
0.126, -5.907, -3.782, 5.396, 8.504, 8.301, 5.644, -6.283, -14.849, 0.19, -5.432, -1.0, -14.301
0.13, -5.899, -3.794, 5.395, 8.487, 8.263, 5.684, -6.277, -14.803, 0.19, -5.438, -1.0, -14.263
0.134, -5.891, -3.807, 5.394, 8.47, 8.224, 5.724, -6.271, -14.758, 0.189, -5.444, -1.0, -14.224
0.138, -5.882, -3.82, 5.392, 8.453, 8.186, 5.763, -6.264, -14.712, 0.189, -5.449, -1.0, -14.186
0.142, -5.874, -3.833, 5.391, 8.435, 8.148, 5.803, -6.258, -14.667, 0.189, -5.455, -1.0, -14.148
0.146, -5.866, -3.846, 5.39, 8.418, 8.11, 5.842, -6.252, -14.621, 0.188, -5.461, -1.0, -14.11
0.15, -5.858, -3.859, 5.388, 8.401, 8.072, 5.882, -6.245, -14.576, 0.188, -5.467, -1.0, -14.072
0.154, -5.849, -3.872, 5.387, 8.384, 8.034, 5.922, -6.239, -14.53, 0.188, -5.472, -1.0, -14.034
0.158, -5.831, -3.872, 5.385, 8.373, 7.977, 5.914, -6.231, -14.504, 0.187, -5.483, -1.0, -14.015
0.162, -5.807, -3.865, 5.383, 8.366, 7.909, 5.88, -6.223, -14.489, 0.187, -5.497, -1.0, -14.007
0.166, -5.782, -3.858, 5.38, 8.36, 7.84, 5.843, -6.215, -14.475, 0.186, -5.511, -1.0, -14.0
0.17, -5.753, -3.846, 5.378, 8.355, 7.764, 5.788, -6.206, -14.468, 0.186, -5.526, -1.0, -14.0
0.174, -5.724, -3.834, 5.375, 8.351, 7.687, 5.734, -6.197, -14.461, 0.185, -5.542, -1.0, -14.0
0.178, -5.695, -3.821, 5.373, 8.347, 7.611, 5.68, -6.188, -14.453, 0.184, -5.558, -1.0, -14.0
0.182, -5.667, -3.809, 5.37, 8.342, 7.535, 5.625, -6.179, -14.446, 0.184, -5.573, -1.0, -14.0
0.186, -5.638, -3.797, 5.367, 8.338, 7.459, 5.571, -6.17, -14.439, 0.183, -5.589, -1.0, -14.0
0.19, -5.609, -3.785, 5.365, 8.334, 7.383, 5.517, -6.161, -14.432, 0.183, -5.605, -1.0, -14.0
0.194, -5.58, -3.773, 5.362, 8.33, 7.307, 5.463, -6.152, -14.425, 0.182, -5.62, -1.0, -14.0
0.198, -5.552, -3.761, 5.36, 8.325, 7.23, 5.408, -6.144, -14.418, 0.181, -5.636, -1.0, -14.0
0.202, -5.523, -3.749, 5.357, 8.321, 7.154, 5.354, -6.135, -14.411, 0.181, -5.652, -1.0, -14.0
0.206, -5.494, -3.737, 5.355, 8.317, 7.078, 5.3, -6.126, -14.404, 0.18, -5.667, -1.0, -14.0
0.21, -5.465, -3.725, 5.352, 8.312, 7.002, 5.245, -6.117, -14.396, 0.179, -5.683, -1.0, -14.0
0.214, -5.437, -3.713, 5.349, 8.308, 6.926, 5.191, -6.108, -14.389, 0.179, -5.699, -1.0, -14.0
0.218, -5.408, -3.7, 5.347, 8.304, 6.85, 5.137, -6.099, -14.382, 0.178, -5.714, -1.0, -14.0
0.222, -5.379, -3.688, 5.344, 8.3, 6.774, 5.082, -6.09, -14.375, 0.177, -5.73, -1.0, -14.0
0.226, -5.35, -3.676, 5.342, 8.295, 6.697, 5.028, -6.081, -14.368, 0.177, -5.746, -1.0, -14.0
0.23, -5.322, -3.664, 5.339, 8.291, 6.621, 4.974, -6.072, -14.361, 0.176, -5.761, -1.0, -14.0
0.234, -5.293, -3.652, 5.337, 8.287, 6.545, 4.919, -6.064, -14.354, 0.176, -5.777, -1.0, -14.0
0.238, -5.264, -3.64, 5.334, 8.282, 6.469, 4.865, -6.055, -14.347, 0.175, -5.793, -1.0, -14.0
0.242, -5.235, -3.628, 5.331, 8.278, 6.393, 4.811, -6.046, -14.339, 0.174, -5.808, -1.0, -14.0
0.246, -5.207, -3.616, 5.329, 8.274, 6.317, 4.756, -6.037, -14.332, 0.174, -5.824, -1.0, -14.0
0.25, -5.178, -3.604, 5.326, 8.269, 6.24, 4.702, -6.028, -14.325, 0.173, -5.84, -1.0, -14.0
0.254, -5.149, -3.592, 5.324, 8.265, 6.164, 4.648, -6.019, -14.318, 0.172, -5.856, -1.0, -14.0
0.258, -5.121, -3.582, 5.318, 8.258, 6.097, 4.598, -6.007, -14.305, 0.172, -5.869, -1.0, -13.993
0.262, -5.093, -3.575, 5.309, 8.249, 6.035, 4.553, -5.992, -14.287, 0.171, -5.88, -1.0, -13.981
0.266, -5.065, -3.568, 5.3, 8.239, 5.976, 4.508, -5.976, -14.267, 0.17, -5.89, -1.0, -13.968
0.27, -5.04, -3.57, 5.278, 8.219, 5.947, 4.481, -5.947, -14.226, 0.169, -5.891, -1.0, -13.93
0.274, -5.014, -3.573, 5.256, 8.199, 5.919, 4.454, -5.919, -14.184, 0.169, -5.893, -1.0, -13.892
0.278, -4.988, -3.576, 5.234, 8.179, 5.89, 4.427, -5.89, -14.142, 0.168, -5.894, -1.0, -13.854
0.282, -4.963, -3.578, 5.212, 8.159, 5.862, 4.401, -5.862, -14.1, 0.167, -5.895, -1.0, -13.816
0.286, -4.937, -3.581, 5.19, 8.14, 5.833, 4.374, -5.833, -14.058, 0.166, -5.896, -1.0, -13.778
0.29, -4.912, -3.584, 5.168, 8.12, 5.805, 4.347, -5.805, -14.016, 0.165, -5.897, -1.0, -13.739
0.294, -4.886, -3.586, 5.146, 8.1, 5.776, 4.32, -5.776, -13.974, 0.164, -5.898, -1.0, -13.701
0.298, -4.86, -3.589, 5.124, 8.08, 5.747, 4.293, -5.747, -13.933, 0.163, -5.9, -1.0, -13.663
0.302, -4.835, -3.592, 5.102, 8.06, 5.719, 4.267, -5.719, -13.891, 0.163, -5.901, -1.0, -13.625
0.306, -4.809, -3.594, 5.08, 8.04, 5.69, 4.24, -5.69, -13.849, 0.162, -5.902, -1.0, -13.587
0.31, -4.783, -3.597, 5.058, 8.02, 5.662, 4.213, -5.662, -13.807, 0.161, -5.903, -1.0, -13.549
0.314, -4.758, -3.599, 5.036, 8.0, 5.633, 4.186, -5.633, -13.765, 0.16, -5.904, -1.0, -13.511
0.318, -4.732, -3.602, 5.014, 7.98, 5.605, 4.159, -5.605, -13.723, 0.159, -5.905, -1.0, -13.473
0.322, -4.707, -3.605, 4.992, 7.96, 5.576, 4.132, -5.576, -13.681, 0.158, -5.906, -1.0, -13.435
0.326, -4.681, -3.607, 4.97, 7.94, 5.548, 4.106, -5.548, -13.639, 0.158, -5.908, -1.0, -13.397
0.33, -4.655, -3.61, 4.948, 7.921, 5.519, 4.079, -5.519, -13.598, 0.157, -5.909, -1.0, -13.359
0.334, -4.63, -3.613, 4.926, 7.901, 5.49, 4.052, -5.49, -13.556, 0.156, -5.91, -1.0, -13.321
0.338, -4.604, -3.615, 4.904, 7.881, 5.462, 4.025, -5.462, -13.514, 0.155, -5.911, -1.0, -13.283
0.342, -4.578, -3.618, 4.882, 7.861, 5.433, 3.998, -5.433, -13.472, 0.154, -5.912, -1.0, -13.244
0.346, -4.553, -3.621, 4.86, 7.841, 5.405, 3.972, -5.405, -13.43, 0.153, -5.913, -1.0, -13.206
0.35, -4.527, -3.623, 4.838, 7.821, 5.376, 3.945, -5.376, -13.388, 0.152, -5.915, -1.0, -13.168
0.354, -4.501, -3.626, 4.816, 7.801, 5.348, 3.918, -5.348, -13.346, 0.152, -5.916, -1.0, -13.13
0.358, -4.476, -3.629, 4.794, 7.781, 5.319, 3.891, -5.319, -13.305, 0.151, -5.917, -1.0, -13.092
0.362, -4.45, -3.631, 4.772, 7.761, 5.291, 3.864, -5.291, -13.263, 0.15, -5.918, -1.0, -13.054
0.366, -4.425, -3.634, 4.75, 7.741, 5.262, 3.837, -5.262, -13.221, 0.149, -5.919, -1.0, -13.016
0.37, -4.396, -3.65, 4.73, 7.72, 5.218, 3.825, -5.243, -13.181, 0.148, -5.896, -1.0, -12.947
0.374, -4.368, -3.666, 4.709, 7.698, 5.173, 3.812, -5.224, -13.141, 0.147, -5.871, -1.0, -12.877
0.378, -4.34, -3.683, 4.689, 7.677, 5.127, 3.801, -5.206, -13.102, 0.146, -5.845, -1.0, -12.804
0.382, -4.311, -3.701, 4.669, 7.655, 5.08, 3.792, -5.189, -13.063, 0.145, -5.816, -1.0, -12.727
0.386, -4.282, -3.72, 4.649, 7.633, 5.032, 3.782, -5.172, -13.024, 0.144, -5.787, -1.0, -12.651
0.39, -4.253, -3.739, 4.628, 7.611, 4.984, 3.772, -5.154, -12.984, 0.143, -5.758, -1.0, -12.575
0.394, -4.224, -3.757, 4.608, 7.589, 4.937, 3.763, -5.137, -12.945, 0.142, -5.729, -1.0, -12.499
0.398, -4.196, -3.776, 4.588, 7.568, 4.889, 3.753, -5.12, -12.906, 0.14, -5.7, -1.0, -12.423
0.402, -4.167, -3.794, 4.568, 7.546, 4.842, 3.743, -5.103, -12.867, 0.139, -5.671, -1.0, -12.347
0.406, -4.138, -3.813, 4.548, 7.524, 4.794, 3.734, -5.086, -12.827, 0.138, -5.642, -1.0, -12.271
0.41, -4.109, -3.832, 4.528, 7.502, 4.746, 3.724, -5.069, -12.788, 0.137, -5.613, -1.0, -12.194
