a,m1,c1,m2,c2,m3,c3,m4,c4,m5,c5,m6,c6
0.714, -1.863, -2.781, 2.317, 4.365, 2.042, 2.338, -2.586, -8.54, 0.066, -4.532, -1.0, -7.759
0.718, -1.836, -2.758, 2.292, 4.284, 2.008, 2.285, -2.549, -8.458, 0.071, -4.531, -1.0, -7.663
0.722, -1.81, -2.735, 2.266, 4.203, 1.975, 2.232, -2.512, -8.375, 0.076, -4.529, -1.0, -7.568
0.726, -1.783, -2.712, 2.24, 4.122, 1.942, 2.18, -2.474, -8.293, 0.081, -4.527, -1.0, -7.473
0.73, -1.757, -2.689, 2.214, 4.041, 1.909, 2.127, -2.437, -8.21, 0.086, -4.525, -1.0, -7.378
0.734, -1.73, -2.666, 2.188, 3.96, 1.876, 2.074, -2.4, -8.128, 0.091, -4.524, -1.0, -7.283
0.738, -1.704, -2.644, 2.163, 3.879, 1.842, 2.022, -2.363, -8.045, 0.097, -4.522, -1.0, -7.187
0.742, -1.677, -2.621, 2.137, 3.798, 1.809, 1.969, -2.326, -7.962, 0.102, -4.52, -1.0, -7.092
0.746, -1.65, -2.598, 2.111, 3.717, 1.776, 1.916, -2.289, -7.88, 0.107, -4.518, -1.0, -6.997
0.75, -1.624, -2.575, 2.085, 3.636, 1.743, 1.864, -2.252, -7.797, 0.112, -4.517, -1.0, -6.902
0.754, -1.597, -2.552, 2.059, 3.556, 1.71, 1.811, -2.215, -7.715, 0.117, -4.515, -1.0, -6.807
0.758, -1.571, -2.529, 2.033, 3.475, 1.677, 1.759, -2.177, -7.632, 0.122, -4.513, -1.0, -6.711
0.762, -1.544, -2.507, 2.008, 3.394, 1.643, 1.706, -2.14, -7.55, 0.127, -4.511, -1.0, -6.616
0.766, -1.518, -2.484, 1.982, 3.313, 1.61, 1.653, -2.103, -7.467, 0.132, -4.51, -1.0, -6.521
0.77, -1.491, -2.461, 1.956, 3.232, 1.577, 1.601, -2.066, -7.385, 0.137, -4.508, -1.0, -6.426
